canton,year,population
Aargau,1850,199852.0
Aargau,1860,194208.0
Aargau,1888,193580.0
Aargau,1900,206498.0
Aargau,1910,230634.0
Aargau,1920,240776.0
Aargau,1930,259644.0
Aargau,1941,270463.0
Aargau,1950,300782.0
Aargau,1960,360940.0
Aargau,1970,433284.0
Aargau,1980,453442.0
Aargau,1990,507508.0
Aargau,2000,547493.0
Aargau,2010,611466.0
Aargau,2015,653675.0
Appenzell Ausserrhoden,1850,43621.0
Appenzell Ausserrhoden,1860,48431.0
Appenzell Ausserrhoden,1888,54109.0
Appenzell Ausserrhoden,1900,55281.0
Appenzell Ausserrhoden,1910,57973.0
Appenzell Ausserrhoden,1920,55354.0
Appenzell Ausserrhoden,1930,48977.0
Appenzell Ausserrhoden,1941,44756.0
Appenzell Ausserrhoden,1950,47938.0
Appenzell Ausserrhoden,1960,48920.0
Appenzell Ausserrhoden,1970,49023.0
Appenzell Ausserrhoden,1980,47611.0
Appenzell Ausserrhoden,1990,52229.0
Appenzell Ausserrhoden,2000,53504.0
Appenzell Ausserrhoden,2010,53017.0
Appenzell Ausserrhoden,2015,54543.0
Appenzell Innerrhoden,1850,11272.0
Appenzell Innerrhoden,1860,11999.0
Appenzell Innerrhoden,1888,12888.0
Appenzell Innerrhoden,1900,13499.0
Appenzell Innerrhoden,1910,14659.0
Appenzell Innerrhoden,1920,14614.0
Appenzell Innerrhoden,1930,13988.0
Appenzell Innerrhoden,1941,13383.0
Appenzell Innerrhoden,1950,13427.0
Appenzell Innerrhoden,1960,12943.0
Appenzell Innerrhoden,1970,13124.0
Appenzell Innerrhoden,1980,12844.0
Appenzell Innerrhoden,1990,13870.0
Appenzell Innerrhoden,2000,14618.0
Appenzell Innerrhoden,2010,15688.0
Appenzell Innerrhoden,2015,15974.0
Basel-Landschaft,1850,47885.0
Basel-Landschaft,1860,51582.0
Basel-Landschaft,1888,61941.0
Basel-Landschaft,1900,68497.0
Basel-Landschaft,1910,76488.0
Basel-Landschaft,1920,82390.0
Basel-Landschaft,1930,92541.0
Basel-Landschaft,1941,94459.0
Basel-Landschaft,1950,107549.0
Basel-Landschaft,1960,148282.0
Basel-Landschaft,1970,204889.0
Basel-Landschaft,1980,219822.0
Basel-Landschaft,1990,233488.0
Basel-Landschaft,2000,259374.0
Basel-Landschaft,2010,274404.0
Basel-Landschaft,2015,283231.0
Basel-Stadt,1850,29698.0
Basel-Stadt,1860,40683.0
Basel-Stadt,1888,73749.0
Basel-Stadt,1900,112227.0
Basel-Stadt,1910,135918.0
Basel-Stadt,1920,140708.0
Basel-Stadt,1930,155030.0
Basel-Stadt,1941,169961.0
Basel-Stadt,1950,196498.0
Basel-Stadt,1960,225588.0
Basel-Stadt,1970,234945.0
Basel-Stadt,1980,203915.0
Basel-Stadt,1990,199411.0
Basel-Stadt,2000,188079.0
Basel-Stadt,2010,184950.0
Basel-Stadt,2015,191817.0
