Date,ABB,GEBERIT,GIVAUDAN,HOLCIM,KUEHNE+NAGEL,LOGITECH,LONZA,NESTLE,NOVARTIS,PARTNERS GROUP,RICHEMONT,ROCHE,SIKA,SONOVA,SWISS LIFE,SWISS RE,SWISSCOM,UBS,ZURICH,SMI
2023-09-22,32.26,451.3,2967.0,58.04,264.3,64.06,426.3,106.9,91.94,1021.5,117.05,249.4,236.7,216.4,573.4,94.14,552.0,25.35,426.9,11014.76
2023-09-21,32.62,453.7,2948.0,59.12,267.3,64.46,426.3,107.92,92.71,1019.0,115.2,251.05,239.9,219.9,574.0,95.02,556.0,25.66,430.3,11084.74
2023-09-20,32.88,456.3,2965.0,59.58,269.0,64.34,440.7,106.72,92.89,1053.0,115.55,256.1,242.8,218.0,576.0,95.0,551.0,26.18,429.8,11154.11
2023-09-19,32.64,447.2,2831.0,58.56,264.8,64.54,430.1,105.6,92.0,1051.0,117.7,257.05,239.1,215.8,576.0,94.68,548.2,26.06,427.3,11068.7
2023-09-18,33.03,452.7,2843.0,58.34,267.1,64.18,424.3,105.72,92.02,1029.5,119.85,257.95,240.7,218.9,569.8,93.68,548.2,25.97,426.3,11090.61
2023-09-15,32.78,457.4,2869.0,58.72,265.1,64.04,497.4,105.42,92.26,1041.5,121.7,261.35,244.5,224.2,579.8,94.02,547.4,26.02,425.7,11197.72
2023-09-14,32.51,451.0,2843.0,58.12,263.5,62.74,489.3,104.96,91.23,1039.5,118.3,259.55,239.6,221.7,577.8,93.06,545.2,26.19,423.8,11098.32
2023-09-13,32.19,446.0,2815.0,57.32,256.5,62.94,485.7,104.3,89.82,1029.5,116.35,256.6,237.0,218.8,569.8,91.74,544.4,25.99,418.7,10976.38
2023-09-12,32.94,445.8,2840.0,57.18,259.6,63.0,484.7,105.14,89.67,1028.0,116.75,254.65,237.6,219.5,566.6,91.04,542.8,25.79,417.5,10987.13
2023-09-11,33.0,448.9,2883.0,57.06,260.1,62.9,487.2,106.1,88.31,1016.0,117.0,253.9,243.1,217.1,563.2,90.34,542.2,25.62,414.6,10972.21
2023-09-08,32.87,447.2,2900.0,56.74,260.1,62.9,483.8,105.22,88.12,1021.5,117.0,256.7,242.6,215.2,558.2,88.92,541.8,25.5,411.0,10948.59
2023-09-07,33.35,449.6,2915.0,57.28,260.9,63.1,492.4,105.2,88.63,1013.5,116.05,256.65,249.1,222.3,558.2,88.48,540.4,25.74,413.6,10993.43
2023-09-06,33.48,450.1,2927.0,57.12,259.1,64.08,496.1,104.2,87.21,1021.0,117.0,252.4,245.5,228.0,565.6,86.8,533.8,25.81,413.5,10924.42
2023-09-05,33.02,450.4,2894.0,56.92,255.7,63.06,494.4,103.74,87.79,1028.0,123.45,253.9,241.8,228.6,553.8,85.8,529.2,26.4,413.5,10958.9
2023-09-04,33.32,456.4,2922.0,57.66,256.4,62.14,495.3,105.04,89.03,964.4,125.6,257.65,247.5,232.9,551.2,85.08,534.0,26.34,412.3,11053.59
2023-09-01,33.31,455.4,2929.0,58.16,260.7,61.52,492.5,105.46,89.35,953.8,124.6,259.45,247.0,233.1,555.8,85.64,535.0,26.34,415.5,11075.15
2023-08-31,33.69,458.6,2948.0,58.56,265.9,61.26,488.9,106.4,89.31,955.2,125.6,260.3,250.4,233.7,554.6,85.9,538.0,26.71,415.0,11125.95
2023-08-30,33.64,453.8,2921.0,58.24,272.8,60.34,483.2,106.32,89.93,944.6,126.45,261.8,246.3,234.0,546.0,85.74,535.2,25.29,412.9,11090.22
2023-08-29,33.63,451.7,2901.0,58.36,272.7,60.62,479.9,106.96,90.57,946.0,126.65,261.05,246.0,232.5,548.6,85.9,533.8,25.14,413.2,11106.24
2023-08-28,33.35,448.3,2863.0,58.12,268.3,59.9,475.5,106.56,90.46,929.0,124.65,259.15,242.6,234.5,541.4,85.24,532.2,24.93,410.1,11032.76
